16:41:44:661,0,1111.213651,00000116,000000b8,000003c7,00000000,00000009,00000006,ffffffa6
16:41:44:744,0,1111.224924,00000116,000000f6,000003b3,00000000,0000000e,00000009,00000048
16:41:44:801,0,1111.236123,00000116,00000140,000003a3,00000000,00000009,00000007,00000000
16:41:44:863,0,1111.247617,00000116,0000018a,00000397,00000000,0000000e,00000009,0000005a
16:41:44:908,0,1111.259210,00000116,000001d1,00000391,00000000,00000000,00000007,00000000
16:41:44:968,0,1111.270372,00000116,00000220,0000038d,00000000,0000000f,00000001,ffffffa6
16:41:45:049,0,1112.030162,00000117,000000a3,000003c7,00000000,0000000a,00000007,0000005a
16:41:45:084,0,1112.041653,00000117,000000d7,000003b4,00000000,0000000d,00000009,00000000
16:41:45:470,0,1112.053019,00000117,0000011d,000003a0,00000000,0000000c,00000000,00000000
16:41:45:539,0,1112.064771,00000117,00000173,00000392,00000000,00000011,00000008,0000005a
16:41:45:583,0,1112.076066,00000117,000001d1,00000388,00000000,0000000f,00000006,00000000
16:41:45:645,0,1112.087635,00000117,0000022c,00000386,00000000,00000019,00000008,00000052
16:41:45:729,0,1112.869866,00000118,00000083,00000339,00000000,00000009,0000000a,00000024
16:41:45:786,0,1112.893096,00000118,000000ce,0000031e,00000000,0000000c,0000000b,0000003c
16:41:45:835,0,1112.904611,00000118,00000102,00000313,00000000,0000000d,00000008,0000004e
16:41:45:901,0,1112.915918,00000118,00000143,0000030b,00000000,00000009,00000006,0000005a
16:42:25:577,1,1112.927313,00000118,0000017d,00000307,00000000,00000000,00000005,00000000
16:42:25:672,1,1112.938829,00000118,000001bc,00000303,00000000,00000007,00000007,ffffffb2
16:42:25:748,1,1112.950478,00000118,000001e8,00000305,00000000,0000001b,00000000,ffffffad
16:42:25:888,1,1114.159101,00000119,0000027d,000000b6,00000000,00000007,00000008,ffffffe4
16:42:26:061,1,1132.607961,0000011a,000000c1,0000036d,00000000,00000004,00000007,0000002d
