timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
15:43:44:254,1,162.576747,00000024,103,1229,0,254.46900494077323,9,-10
15:43:48:412,1,163.954775,00000026,31,1199,0,282.7433388230814,10,-14
15:44:01:770,1,178.756545,0000002f,353,958,0,282.7433388230814,10,0
15:44:27:425,1,203.494804,0000003d,665,56,0,226.1946710584651,9,-10
15:44:38:692,1,217.069011,00000045,563,124,0,276.46015351590177,8,3
15:44:40:001,1,217.950313,00000046,311,175,0,395.84067435231395,14,-15
15:44:48:967,1,225.868705,0000004b,56,1206,0,254.46900494077323,9,4
15:44:53:407,1,231.074998,0000004f,661,85,0,367.5663404700058,13,1
15:46:02:811,1,296.449696,00000000,212,229,0,0.0,0,-13
15:46:41:467,1,327.740879,00000076,45,1261,0,0.0,0,5
15:46:49:176,1,343.005709,0000007d,560,134,0,282.7433388230814,10,1
15:47:05:340,1,362.353436,00000088,561,129,0,367.5663404700058,13,0
15:48:07:043,1,424.592105,000000a2,143,763,0,226.1946710584651,9,0
15:49:09:904,1,483.304434,000000b5,169,468,0,471.23889803846896,15,3
