tracking_id,time_period,X_start,x_stop,y_start,y_stop,mid_stroke_pressure,mid_stroke_area_covered,mid_finger_width,X_length_of_trajectory,Y_length_of_trajectory,Distance_EndToEnd,Direction,X_speed,Y_speed,mid_trajectory_speed,absolute_velocity,velocity_angle,finger_orient_change
0000010d,0:00:00.141000,60,61,721,718,0,284.31413515,9,60,719,3.16227766017,-3,0,0,2.24275011359e-05,0.0,0.0,14
0000010d,0:00:00.194000,60,62,721,710,0,320.442450666,11,61,715,11.1803398875,-6,0,0,5.76306179768e-05,0.0,0.0,3
0000010d,0:00:00.248000,60,61,721,696,0,354.999969856,12,60,708,25.0199920064,-25,0,0,0.000100887064542,0.0,0.0,-1
0000010d,0:00:00.360000,60,60,721,677,0,157.079632679,11,60,699,44.0,0,0,0,0.000122222222222,0.0,0.0,13
0000010d,0:00:00.407000,60,56,721,656,0,157.079632679,12,58,688,65.1229606207,16,0,0,0.000160007274252,0.0,0.0,-2
0000010d,0:00:00.454000,60,52,721,633,0,157.079632679,11,56,677,88.3628881375,11,0,0,0.000194631912197,0.0,0.0,-1
0000010d,0:00:00.570000,60,49,721,607,0,157.079632679,12,54,664,114.529472189,10,0,0,0.000200928898578,0.0,0.0,13
0000010d,0:00:00.626000,60,46,721,584,0,307.876080052,11,53,652,137.713470656,9,0,0,0.000219989569737,0.0,0.0,-1
0000010d,0:00:00.685000,60,42,721,558,0,333.008821281,13,51,639,163.990853403,9,0,0,0.000239402705699,0.0,0.0,13
0000010d,0:00:00.819000,60,36,721,535,0,312.588469032,10,48,628,187.541995297,7,0,0,0.000228989005247,0.0,0.0,-1
0000010d,0:00:00.867000,60,35,721,515,0,322.013246993,15,47,618,207.511445467,8,0,0,0.000239344227759,0.0,0.0,-2
0000010d,0:00:00.914000,60,31,721,495,0,376.991118431,12,45,608,227.853022802,7,0,0,0.000249292147486,0.0,0.0,13
0000010d,0:00:01.013000,60,30,721,479,0,157.079632679,5,45,600,243.852414382,8,0,0,0.0187578780294,0.0,0.0,-2
0000010d,0:00:01.066000,60,29,721,463,0,256.039801268,15,44,592,259.855729204,8,0,0,0.00393720801824,0.0,0.0,-2
0000010d,0:00:01.119000,60,30,721,446,0,354.999969856,12,45,583,276.631523872,9,0,0,0.00232463465439,0.0,0.0,13
0000010d,0:00:01.248000,60,31,721,431,0,157.079632679,11,45,576,291.446393013,10,0,0,0.0011751870686,0.0,0.0,-1
0000010d,0:00:01.306000,60,35,721,416,0,345.575191895,12,47,568,306.022874962,12,0,0,0.00100007475478,0.0,0.0,-2
