14:22:42:167,0,3041.573160,00000022,00000000,000004e3,00000000,00000004,00000000,00000005
14:22:42:225,0,3041.594765,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:42:290,0,3041.605738,00000022,00000000,000004e3,00000000,00000004,00000000,0000000a
14:22:42:340,0,3041.616665,00000022,00000000,000004e2,00000000,00000000,00000000,00000005
14:22:42:379,0,3041.649234,00000022,00000000,000004e1,00000000,00000000,00000000,00000004
14:22:42:443,0,3041.660067,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffb8
14:22:42:463,0,3041.736085,00000022,00000000,000004e3,00000000,00000000,00000000,00000000
14:22:42:493,0,3041.757765,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:42:535,0,3041.812224,00000022,00000000,000004e3,00000000,00000004,00000000,00000008
14:22:42:589,0,3041.823101,00000022,00000000,000004e2,00000000,00000000,00000000,00000003
14:22:42:637,0,3041.833957,00000022,00000000,000004e1,00000000,00000000,00000000,00000005
14:22:42:706,0,3041.855571,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffb6
14:22:42:739,0,3041.866444,00000022,00000000,000004e3,00000000,00000000,00000000,00000000
14:22:42:803,0,3041.899124,00000022,00000000,000004e2,00000000,00000004,00000000,00000008
14:22:42:870,0,3041.931653,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffbd
14:22:42:901,0,3041.942501,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:42:937,0,3041.975605,00000022,00000000,000004e3,00000000,00000003,00000000,00000005
14:22:42:985,0,3042.018561,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:43:022,0,3042.029521,00000022,00000000,000004e3,00000000,00000004,00000000,00000005
14:22:43:077,0,3042.040436,00000022,00000000,000004e2,00000000,00000000,00000000,00000008
14:22:43:106,0,3042.051263,00000022,00000000,000004e1,00000000,00000000,00000000,00000003
14:22:43:165,0,3042.105542,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffb6
14:22:43:195,0,3042.116334,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffb8
14:22:43:226,0,3042.127205,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:43:257,0,3042.192516,00000022,00000000,000004e5,00000000,00000000,00000000,ffffffbd
14:22:43:303,0,3042.279433,00000022,00000000,000004e4,00000000,00000003,00000000,0000000e
14:22:43:333,0,3042.464182,00000022,00000000,000004e3,00000000,00000000,00000000,00000008
