timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
10:32:32:329,0,747.605987,00000091,209,322,0,314.159265359,10,ffffffe2
10:32:32:437,0,752.894030,00000092,162,395,0,109.955742876,5,0000002d
10:34:19:538,0,808.125565,000000b2,432,709,0,311.017672705,9,0000002d
10:34:39:649,0,815.965188,000000b7,464,722,0,141.371669412,9,0000005a
10:34:58:981,0,823.593633,000000bc,481,687,0,0.0,0,00000000
10:37:11:092,0,875.710964,000000dc,471,688,0,0.0,0,ffffffa6
