timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
10:24:07:854,1,253.373228,00000000,0,967,0,0.0,5,0000002d
10:24:14:556,1,257.996028,00000027,278,1006,0,449.247749463,13,00000024
10:26:39:088,1,405.633810,0000004c,145,784,0,226.194671058,9,0000005a
10:27:05:609,1,432.172379,00000057,555,123,0,0.0,0,ffffffbd
10:27:29:110,1,455.565695,0000005d,116,786,0,282.743338823,15,00000000
10:28:06:629,1,490.708751,00000066,312,1073,0,0.0,0,00000000
10:28:45:771,1,528.320057,00000076,301,1052,0,367.56634047,13,00000000
10:28:45:861,1,532.907581,00000077,127,786,0,0.0,9,00000000
