timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
10:24:07:854,1,253.373228,00000000,0,967,0,0.0,5,2
10:24:14:556,1,257.996028,00000027,278,1006,0,449.2477494633405,13,2
10:26:39:088,1,405.633810,0000004c,145,784,0,226.1946710584651,9,5
10:27:05:609,1,432.172379,00000057,555,123,0,0.0,0,-11
10:27:29:110,1,455.565695,0000005d,116,786,0,282.74333882308133,15,0
10:28:06:629,1,490.708751,00000066,312,1073,0,0.0,0,0
10:28:45:771,1,528.320057,00000076,301,1052,0,367.5663404700058,13,0
10:28:45:861,1,532.907581,00000077,127,786,0,0.0,9,0
