10:59:11:304,0,26543.445262,000001c7,0000015e,0000044c,00000000,00000000,00000009,ffffffe2
10:59:11:358,0,26543.598570,000001c7,0000015f,00000449,00000000,00000000,00000000,ffffffa6
10:59:11:412,0,26543.610565,000001c7,00000160,00000448,00000000,0000000e,00000000,00000000
10:59:11:481,0,26544.929129,000001c8,00000061,000002f8,00000000,00000009,00000007,0000005a
10:59:11:521,0,26544.940518,000001c8,00000071,000002ec,00000000,0000000b,0000000b,0000002d
10:59:11:543,0,26544.952336,000001c8,00000089,000002db,00000000,0000000a,0000000a,00000000
10:59:11:563,0,26544.964464,000001c8,000000a3,000002cd,00000000,0000000c,00000000,00000000
10:59:11:592,0,26544.976091,000001c8,000000bf,000002c4,00000000,00000000,00000009,0000000c
10:59:11:631,0,26544.988068,000001c8,000000d6,000002c3,00000000,0000000b,0000000a,00000000
10:59:11:671,0,26544.999792,000001c8,000000ee,000002c8,00000000,0000000c,0000000b,ffffffd3
10:59:11:704,0,26545.011870,000001c8,00000104,000002d5,00000000,0000000a,00000009,ffffffbd
10:59:11:738,0,26545.023585,000001c8,00000118,000002e5,00000000,0000000c,00000008,ffffffee
10:59:11:765,0,26545.035362,000001c8,00000128,000002fb,00000000,00000009,00000007,0000004b
10:59:11:786,0,26545.047196,000001c8,00000134,0000030b,00000000,00000004,00000000,0000002d
10:59:11:822,0,26545.059235,000001c8,00000142,0000031e,00000000,00000009,00000008,00000000
10:59:11:851,0,26545.070874,000001c8,00000154,0000032d,00000000,00000000,00000006,0000005a
10:59:11:885,0,26545.082811,000001c8,00000165,00000336,00000000,00000008,00000007,00000000
10:59:11:907,0,26545.094699,000001c8,0000017d,0000033d,00000000,00000009,00000008,00000000
10:59:11:933,0,26545.106585,000001c8,00000192,00000340,00000000,00000000,00000007,00000000
10:59:11:958,0,26545.118405,000001c8,000001ab,0000033f,00000000,00000008,00000006,0000001e
10:59:11:976,0,26545.130307,000001c8,000001c4,0000033c,00000000,00000007,00000000,ffffffa6
10:59:12:008,0,26545.142066,000001c8,000001de,00000336,00000000,00000000,00000007,00000045
10:59:12:041,0,26545.153980,000001c8,000001f8,0000032e,00000000,00000008,00000000,00000049
10:59:12:074,0,26545.165726,000001c8,00000213,00000328,00000000,00000007,00000008,ffffffb2
10:59:12:102,0,26545.177681,000001c8,0000022b,00000325,00000000,00000008,00000007,00000048
10:59:12:134,0,26545.189644,000001c8,00000240,00000000,00000000,0000000b,00000004,0000005a
10:59:12:152,0,26545.201395,000001c8,00000255,00000000,00000000,00000009,00000005,00000051
10:59:16:762,0,26545.213228,000001c8,00000267,00000327,00000000,0000000b,00000003,ffffffa6
10:59:16:848,0,26550.379756,000001c9,000000d1,0000035d,00000000,00000006,00000007,00000033
10:59:16:886,0,26550.403415,000001c9,00000109,00000348,00000000,0000000b,00000009,00000043
10:59:16:913,0,26550.414964,000001c9,00000133,00000341,00000000,0000000a,00000008,0000005a
10:59:16:954,0,26550.426593,000001c9,0000015c,00000340,00000000,00000008,00000006,00000000
10:59:16:981,0,26550.438613,000001c9,00000188,00000342,00000000,00000009,00000008,00000000
10:59:17:005,0,26550.450243,000001c9,000001b2,00000347,00000000,00000000,00000000,0000005a
10:59:17:039,0,26550.462331,000001c9,000001d5,0000034d,00000000,00000000,00000006,00000000
10:59:17:596,0,26550.474637,000001c9,000001ec,00000350,00000000,0000000a,00000000,00000000
10:59:17:666,0,26551.246318,000001ca,00000073,000003ae,00000000,00000009,00000004,00000000
10:59:17:698,0,26551.258018,000001ca,00000081,000003a8,00000000,00000000,00000006,00000036
10:59:17:730,0,26551.270207,000001ca,0000009d,0000039b,00000000,0000000c,0000000a,00000000
10:59:17:760,0,26551.281828,000001ca,000000c0,0000038e,00000000,00000009,00000008,0000001b
10:59:17:801,0,26551.293558,000001ca,000000ea,00000381,00000000,0000000a,00000009,00000043
10:59:17:827,0,26551.305510,000001ca,0000011b,00000377,00000000,00000009,00000000,0000003c
10:59:17:870,0,26551.317305,000001ca,0000014d,00000370,00000000,0000000a,00000008,0000005a
10:59:17:900,0,26551.329085,000001ca,0000017a,0000036f,00000000,00000009,00000000,00000000
10:59:18:471,0,26551.341073,000001ca,000001a1,00000370,00000000,0000000d,00000009,00000000
10:59:18:528,0,26552.101583,000001cb,0000007a,000003bf,00000000,0000000a,00000000,0000000f
