10:06:02:481,0,24807.648505,0000000e,00000164,0000044c,00000000,00000000,00000005,ffffffaf
10:06:02:533,0,24807.777296,0000000e,00000000,0000044a,00000000,00000000,00000006,ffffffc4
10:06:02:581,0,24807.788113,0000000e,00000000,00000446,00000000,00000005,00000005,ffffffd3
10:06:02:626,0,24807.799046,0000000e,00000165,00000441,00000000,0000000a,00000009,ffffffa6
10:06:02:653,0,24807.810290,0000000e,00000000,0000043c,00000000,00000009,00000007,00000000
10:06:02:714,0,24817.064681,0000000f,00000240,000003c5,00000000,0000000a,00000009,00000000
10:06:02:748,0,24817.073817,0000000f,0000023b,000003c7,00000000,00000009,00000006,0000004d
10:06:02:796,0,24817.084534,0000000f,00000235,000003ca,00000000,00000004,00000007,0000002d
10:06:02:838,0,24817.095582,0000000f,00000228,000003ce,00000000,00000009,00000008,0000005a
10:06:02:870,0,24817.106730,0000000f,00000219,000003d0,00000000,00000000,00000009,00000000
10:06:02:891,0,24817.117556,0000000f,00000204,000003d2,00000000,0000000b,00000000,0000004b
10:06:02:920,0,24817.128114,0000000f,000001ea,000003d5,00000000,00000009,00000000,0000005a
10:06:02:945,0,24817.139273,0000000f,000001cc,000003d8,00000000,00000000,00000000,00000000
10:06:02:980,0,24817.150096,0000000f,000001ae,000003dd,00000000,0000000d,00000000,00000000
10:06:03:020,0,24817.160981,0000000f,0000018e,000003e4,00000000,0000000c,00000008,0000001a
10:06:03:051,0,24817.171885,0000000f,00000170,000003ec,00000000,0000000b,00000000,0000001e
10:06:03:084,0,24817.182646,0000000f,00000151,000003fa,00000000,00000008,00000000,00000024
10:06:03:116,0,24817.193383,0000000f,00000139,00000406,00000000,00000007,00000007,0000001e
10:06:03:257,0,24817.204226,0000000f,00000122,00000410,00000000,00000006,00000008,0000003f
10:06:03:313,0,24817.789395,00000010,000000f3,000003ec,00000000,0000000b,00000009,00000000
10:06:03:351,0,24817.809798,00000010,00000113,000003e1,00000000,0000000e,00000000,0000005a
10:06:03:370,0,24817.820679,00000010,0000012a,000003da,00000000,00000000,00000000,00000000
10:06:03:412,0,24817.831476,00000010,00000145,000003d6,00000000,00000006,00000007,0000002d
10:06:03:450,0,24817.842504,00000010,0000015d,000003d2,00000000,0000000d,00000008,00000000
10:06:03:490,0,24817.853286,00000010,00000178,000003d0,00000000,00000008,00000007,0000005a
10:06:03:530,0,24817.864398,00000010,00000197,000003cb,00000000,0000000b,0000000a,0000002d
10:06:04:146,0,24817.875062,00000010,000001b6,000003c6,00000000,00000009,00000009,ffffffa6
10:06:04:178,0,24817.885986,00000010,000001d7,000003c0,00000000,0000000b,00000000,0000005a
10:06:04:224,0,24817.896767,00000010,000001fe,000003ba,00000000,00000009,00000008,00000039
10:06:04:270,0,24817.907629,00000010,00000222,000003b5,00000000,0000000d,00000009,0000000f
10:06:04:323,0,24818.742937,00000011,000000c9,000003f6,00000000,0000000b,0000000b,ffffffd3
10:06:04:361,0,24818.752775,00000011,000000d4,000003f2,00000000,0000000c,0000000c,0000002d
10:06:04:402,0,24818.763458,00000011,000000e7,000003eb,00000000,0000000e,00000009,fffffff4
10:06:04:424,0,24818.774377,00000011,00000100,000003df,00000000,0000000d,00000000,0000005a
