timestamp,phone_orient,time,tracking_id,X_start,y_stop,mid_stroke_pressure,stroke_area_covered,finger_width,finger_orient
10:07:12:840,1,24884.844990,00000000,218,372,0,339.29200658769764,12,-14
10:08:08:580,1,24936.859686,00000029,149,782,0,254.46900494077323,9,5
10:08:46:001,1,24976.639108,00000000,87,463,0,835.6636458548849,19,-11
10:09:17:119,1,25007.355613,00000034,665,1206,0,282.7433388230814,9,4
10:10:39:460,1,25092.409894,00000042,659,1225,0,175.92918860102841,8,0
10:10:44:398,1,25095.455599,00000000,176,471,0,0.0,18,-10
10:11:18:306,1,25130.353627,00000000,161,497,0,640.8849013323179,17,-10
