11:09:48:542,0,2449.889826,000002ad,00000284,0000048b,00000000,0000000b,0000000a,00000000
11:09:48:579,0,2449.910226,000002ad,00000285,00000000,00000000,00000000,00000000,ffffffa6
11:09:48:633,0,2449.920936,000002ad,00000288,00000000,00000000,0000000e,0000000b,00000000
11:09:48:748,0,2450.875209,000002ae,000001b5,000001ed,00000000,0000000a,0000000a,ffffffd3
11:09:48:821,0,2450.884723,000002ae,000001b6,000001f1,00000000,0000000d,0000000b,00000000
11:09:48:903,0,2453.438131,000002af,000000a2,00000318,00000000,0000000a,00000009,ffffffa6
11:09:48:976,0,2453.447193,000002af,000000c4,00000308,00000000,0000000f,0000000b,0000004d
11:09:49:140,0,2453.438131,000002af,000000a2,00000318,00000000,0000000a,00000009,ffffffa6
11:09:49:198,0,2453.447193,000002af,000000c4,00000308,00000000,0000000f,0000000b,0000004d
11:09:49:244,0,2453.457603,000002af,000000f0,000002f2,00000000,00000009,00000008,ffffffa6
11:09:49:289,0,2453.468605,000002af,00000127,000002e2,00000000,0000000f,00000000,0000005a
11:09:49:319,0,2453.479563,000002af,0000015d,000002d4,00000000,00000000,0000000b,00000041
11:09:49:381,0,2453.490400,000002af,00000194,000002ca,00000000,0000000c,00000009,ffffffa6
11:09:49:433,0,2453.500907,000002af,000001c7,000002c4,00000000,0000000b,00000005,00000000
11:09:49:505,0,2453.511699,000002af,000001f0,000002c0,00000000,00000009,00000006,0000005a
11:09:49:549,0,2453.522695,000002af,00000212,000002c1,00000000,00000010,00000005,00000000
11:09:53:307,0,2453.468605,000002af,00000127,000002e2,00000000,0000000f,00000000,0000005a
11:09:53:397,0,2453.479563,000002af,0000015d,000002d4,00000000,00000000,0000000b,00000041
11:09:53:459,0,2453.490400,000002af,00000194,000002ca,00000000,0000000c,00000009,ffffffa6
11:09:53:506,0,2453.500907,000002af,000001c7,000002c4,00000000,0000000b,00000005,00000000
11:09:53:571,0,2453.511699,000002af,000001f0,000002c0,00000000,00000009,00000006,0000005a
11:09:53:613,0,2453.522695,000002af,00000212,000002c1,00000000,00000010,00000005,00000000
11:09:53:703,0,2458.164521,000002b0,00000124,000000b0,00000000,0000000a,00000009,00000010
11:09:53:738,0,2458.173553,000002b0,00000123,00000000,00000000,00000000,00000000,00000000
11:09:53:768,0,2458.184252,000002b0,00000000,000000b1,00000000,00000006,00000007,00000020
11:09:53:782,0,2458.195104,000002b0,00000000,00000000,00000000,00000000,00000000,00000000
11:10:01:009,0,2458.164521,000002b0,00000124,000000b0,00000000,0000000a,00000009,00000010
11:10:01:028,0,2458.173553,000002b0,00000123,00000000,00000000,00000000,00000000,00000000
11:10:01:068,0,2458.184252,000002b0,00000000,000000b1,00000000,00000006,00000007,00000020
11:10:01:121,0,2458.195117,000002b0,00000000,000000b3,00000000,0000000c,00000006,ffffffa6
11:10:01:188,0,2465.838865,000002b1,00000124,000001e9,00000000,0000000e,00000009,00000000
11:10:01:233,0,2465.870310,000002b1,00000123,000001e8,00000000,0000000f,0000000d,ffffffe2
11:10:01:278,0,2465.880994,000002b1,00000121,000001e6,00000000,0000000e,0000000a,00000000
11:10:01:320,0,2465.891837,000002b1,0000011d,000001e4,00000000,00000000,0000000d,00000000
11:10:02:364,0,2458.195117,000002b1,00000119,000000b3,00000000,0000000c,00000006,ffffffa6
